Pclass,Gender,Age,Fare,Embarked,Survived
1,1,52,30.5,0,1
1,1,30,27.75,1,0
1,1,49,89.1,1,1
1,1,65,26.55,0,0
1,1,48,26.55,0,1
1,1,47,38.5,0,0
2,0,23,13.79,1,1
1,1,25,91.08,1,1
1,0,35,90,0,1
1,1,58,29.7,1,0
1,1,55,30.5,0,0
1,0,54,78.27,1,1
1,0,25,151.55,0,0
1,0,16,86.5,0,1
1,1,18,108.9,1,0
1,1,36,26.29,0,1
1,1,47,34.02,0,0
2,0,34,10.5,0,1
1,0,30,93.5,0,1
1,0,44,57.98,1,1
3,1,39,7.93,0,0
2,1,23,11.5,0,0
2,0,2,26,0,1
3,1,17,7.23,1,0
3,0,30,8.66,0,0
2,0,7,26.25,0,1
1,1,45,26.55,0,0
1,0,22,49.5,1,1
1,0,36,71,0,1
1,1,50,106.43,1,0
3,1,33,20.53,0,0
2,1,8,36.75,0,1
1,1,17,110.88,1,1
3,1,22,7.23,1,1
3,0,22,7.78,0,1
1,1,62,26.55,0,0
1,0,48,39.6,1,1
1,0,39,79.65,0,1
3,1,40,7.9,0,0
2,1,28,13.5,0,0
3,1,24,24.15,0,0
3,1,19,7.9,0,0
3,0,29,21.08,0,0
3,1,32,7.85,0,1
2,1,62,10.5,0,1
1,0,53,51.48,0,1
1,1,36,26.39,0,1
1,0,39,55.9,0,1
1,0,39,110.88,1,1
1,1,36,40.13,1,0
1,0,18,79.65,0,1
1,1,60,79.2,1,1
3,1,35,7.13,0,0
1,0,52,78.27,1,1
2,1,37,26,0,0
3,1,36,24.15,0,0
3,1,49,0,0,0
1,1,49,56.93,1,1
3,1,44,8.05,0,0
1,1,35,26.55,1,1
3,1,36,15.55,0,0
3,1,30,7.9,0,0
1,1,27,30.5,0,1
2,0,22,41.58,1,1
1,0,40,153.46,0,1
3,1,35,8.05,0,0
2,0,24,65,0,1
3,1,34,14.4,0,0
3,0,26,16.1,0,0
2,0,4,39,0,1
1,1,42,52.55,0,1
1,1,61,32.32,0,0
1,0,21,77.96,0,1
1,1,80,30,0,1
1,1,32,30.5,1,1
3,1,20,7.85,0,0
1,0,24,69.3,1,1
3,0,0.75,19.26,1,1
1,1,48,76.73,1,1
1,1,56,35.5,1,1
2,0,18,23,0,1
3,1,21,8.43,0,0
3,0,18,6.75,0,0
2,1,24,73.5,0,0
3,0,32,15.5,0,0
2,1,23,13,0,0
1,1,58,113.28,1,0
1,1,47,25.59,0,0
3,1,43,8.05,0,0
2,0,40,39,0,1
1,1,31,52,0,0
3,1,18,7.78,0,0
3,1,24.5,8.05,0,0
3,0,18,9.84,0,1
3,0,43,46.9,0,0
1,1,36,512.33,1,1
1,1,27,76.73,1,1
1,0,15,211.34,0,1
1,1,31,57,0,1
3,1,25,7.23,1,0
1,1,60,26.55,0,0
2,1,52,13.5,0,0
3,1,44,8.05,0,0
1,1,49,110.88,1,0
3,1,42,7.65,0,0
1,0,18,227.53,1,1
1,1,35,26.29,0,1
1,1,42,26.29,0,1
1,0,24,49.5,1,1
1,1,48,52,0,1
3,1,19,7.65,0,0
1,0,38,227.53,1,1
2,0,27,10.5,0,1
1,1,27,53.1,0,1
2,1,25,26,0,0
3,0,25,7.93,0,0
1,0,29,211.34,0,1
2,1,23,13,0,0
2,1,23,13,0,0
3,1,28.5,16.1,0,0
3,0,48,34.38,0,0
1,1,35,512.33,1,1
1,1,36,78.85,0,0
1,0,21,262.38,1,1
1,1,70,71,0,0
1,1,19,53.1,0,0
3,1,6,12.48,0,1
1,0,33,86.5,0,1
1,0,36,120,0,1
1,0,51,77.96,0,1
3,1,32,8.36,0,0
3,1,24,9.5,0,0
3,1,48,7.85,0,0
2,0,57,10.5,0,0
3,0,5,12.48,0,1
1,0,43,211.34,0,1
1,0,17,57,0,1
1,1,29,30,0,0
1,1,46,79.2,1,0
3,1,25,7.9,0,0
2,1,39,13,0,0
1,0,49,25.93,0,1
1,1,11,120,0,1
1,1,39,0,0,0
1,0,33,53.1,0,1
3,0,23,7.93,0,0
2,1,31,37,1,0
3,1,43,6.45,0,0
3,1,10,27.9,0,0
1,0,52,93.5,0,1
3,0,27,12.48,0,1
2,1,1,37,1,1
3,0,15,14.45,1,1
2,1,0.83,18.75,0,1
3,1,23,7.85,0,0
3,1,18,8.3,0,0
1,0,39,83.16,1,1
3,1,32,56.5,0,1
3,1,20,7.93,0,0
2,1,16,10.5,0,0
1,0,30,31,1,1
3,1,34.5,6.44,1,0
3,1,17,8.66,0,0
3,1,42,7.55,0,0
3,1,35,7.9,1,0
2,1,28,33,0,0
3,1,4,31.28,0,0
3,1,74,7.78,0,0
3,0,9,15.25,1,0
1,0,16,39.4,0,1
1,1,51,26.55,0,1
3,1,41,14.11,0,0
2,1,21,11.5,0,0
1,0,48,25.93,0,1
1,1,31,50.5,0,0
1,0,47,52.55,0,1
1,1,33,5,0,0
1,0,56,83.16,1,1
1,0,19,30,0,1
1,1,26,30,1,1
